Protein,AMIKACIN,AMP,AZITHROMYCIN,BDQ,CAP,CEF,CHLORAMPHENICOL,CIPROFLOXACIN,CLARYTHROMYCIN,CLOFAZIMINE,CPZ,CYCLOSERINED,DELx,DOXYCYCLINE,ECONAZOLE,EMB,EMBx,ERY,ETA,ETHIDIUMBROMIDE,FUSIDICACID,INH,Kanamycin,LEVO,LINEZOLID,LZDx,MENADIONE,MINOCYCLINE,MTM,Moxifloxacin,NIGERICIN,NITROFURANTOIN,NORFLOXACIN,NOVOBIOCIN,OFLOX,OFX1,OXA,PA824,PBTZ169x,RIF,ROX,SM,SPECTINOMYCIN,SQ109,SUTx,TET,THZ (1hrMIC),TRZ,TUNICAMYCIN,VANCOMYCIN,VERAPAMIL,VERx
O53507,455154.7246,483356.1653,372670.0684,33629.11967,432354.1012,412777.7802,502746.565,38949.38707,362604.1403,191249.6516,209124.2518,808795.8291,117741.3694,414100.1903,105653.1925,863483.2798,863483.2798,349330.2832,954652.2871,227637.3678,378818.9311,1075805.76,785135.9031,33836.4806,522901.6753,522901.6753,580615.3121,386131.8008,493316.356,27369.73525,500213.992,604549.8308,28164.62473,144434.1483,33836.4806,33836.4806,356384.1285,150615.8594,125304.7484,37186.30487,392973.239,503116.7552,445122.2307,657063.9014,366328.8917,384803.0693,1089084.625,46231.82767,312907.2833,43511.76051,94854.07633,94854.07633
O53521,536060.5215,138681.9879,323466.4764,89851.46232,573422.4462,430078.5487,245674.5957,30393.91004,332686.5175,16982.76437,65948.22434,308068.641,50983.958,383309.1803,41702.55053,432981.9558,432981.9558,336522.6985,179115.7646,87831.77371,304664.4401,307504.1792,454841.85,31426.52773,482032.532,482032.532,451418.4713,400589.9953,299485.8428,58053.57397,296186.5187,284146.4862,40417.35287,77688.5446,31426.52773,31426.52773,55533.16385,49091.68983,49580.35693,70087.95971,342034.0186,321483.8319,257428.1858,448112.7653,182223.809,383742.7773,647731.5303,55384.3421,313356.7578,22318.38373,60326.98018,60326.98018
O53554,620169.021,211529.4492,321935.7468,97453.89047,645768.4692,222600.1185,888470.151,70600.62399,406303.7876,44044.80073,91973.66423,731297.1042,194287.9912,258094.4512,68531.33714,855410.4272,855410.4272,411554.8876,935166.9509,124607.6569,456883.151,658994.3833,717198.2901,64820.64409,657338.1291,657338.1291,427710.7971,313175.8582,365192.4929,67647.27503,850523.1738,692766.8328,71838.45858,93897.7786,64820.64409,64820.64409,243092.8896,226939.1398,199058.666,47596.74369,307730.8911,642434.4323,355067.222,702855.3935,140873.3508,258752.3446,1932601.201,59149.02122,672933.5355,65314.37958,103256.0168,103256.0168
O53578,129236.9319,146520.6342,100517.4814,94969.78213,175464.305,121529.7586,106172.1869,39424.01037,101805.4249,26934.29835,69362.38703,156052.2911,49525.755,83639.23473,35505.41693,242780.8414,242780.8414,101655.4265,252237.0059,149602.6422,82522.82083,388451.6394,135706.5287,42540.45973,176974.4829,176974.4829,142800.3914,116752.9559,114905.8114,45700.31746,98025.26403,214096.5583,41208.59606,63729.78143,42540.45973,42540.45973,115075.2048,45627.0357,48412.28813,41972.82745,136441.4166,121871.9302,84374.21744,214408.0246,210635.4143,88432.99553,622199.391,32667.37325,88448.9769,28261.55695,71487.9737,71487.9737
O53590,618737.8467,1365991.258,1085093.659,1048521.449,992223.739,936849.8869,1111978.834,973428.2527,1001898.091,795148.44,1639367.192,897314.4943,1419404.308,1168834.589,889475.8667,1626798.848,1626798.848,1049619.091,1409863.583,1064745.554,1037467.98,1315610.373,693700.2733,1330145.822,1302603.911,1302603.911,1257155.233,1152891.151,714880.0147,1313662.276,2155774.951,906696.0282,1040944.474,672828.553,1330145.822,1330145.822,1301670.421,1385839.017,1094542.682,1626586.366,1040850.174,1191502.448,919607.1913,1919421.133,888514.9442,1052201.601,1378456.669,667056.77,1024669.223,872958.831,1908171.027,1908171.027
O53604,243212.7918,648345.7991,150275.9131,52488.40153,245778.37,182300.7286,674903.8332,11022.81786,205139.8922,60038.04703,178369.3469,1081155.451,52855.281,257797.5601,17683.36163,1932179.381,1932179.381,205989.8922,2431447.798,221861.0208,334379.3398,979785.8215,156398.5063,30611.7331,230355.4392,230355.4392,376704.6184,281772.9691,225568.714,12072.3759,332795.833,511162.1198,15667.09178,49313.76471,30611.7331,30611.7331,883876.5567,46097.24283,43662.006,30769.0816,249143.0436,177798.8356,192995.4361,203994.9533,1017788.31,269982.0609,2933575.994,23489.7217,144627.0923,32174.00127,61023.98184,61023.98184
O53637,527787.157,305861.1915,529832.4712,41160.5276,798167.7464,539387.9304,795779.5041,20433.92013,472881.7981,21383.44056,56617.21061,641732.803,120794.0424,477265.8021,26135.54563,709125.5198,709125.5198,472881.7899,862392.1813,115296.6657,411839.2683,623477.5881,701954.1283,21956.66343,549405.9634,549405.9634,585405.7797,515979.2459,692712.8303,14027.3207,468959.8613,724615.9366,21576.78748,38500.82739,21956.66343,21956.66343,471765.0943,134860.9037,126521.2664,24658.80791,460901.1383,573449.1842,437706.7524,588777.7745,203817.8506,518418.5493,1097165.061,33831.61327,471850.4332,19848.36228,21029.73726,21029.73726
O53645,1150791.019,664772.2965,746704.2015,108269.377,1071296.779,491341.4391,780717.725,63878.84305,577241.5139,33138.89893,73085.39406,1083196.125,145086.4536,547937.2358,52138.86394,1815813.296,1815813.296,580271.5199,1551821.314,132896.6949,579929.4698,1154043.264,1353906.736,57653.54527,1062029.976,1062029.976,743277.4403,574296.7228,635255.3326,84061.37167,1093147.221,727426.804,76791.37405,123221.8829,57653.54527,57653.54527,681875.2102,167195.8092,131225.3059,92220.49731,560743.9996,1004339.481,519198.8417,1209751.8,535955.6055,548360.4256,2147917.377,72706.13262,837115.9181,64561.70615,85623.86701,85623.86701
O53674,123452.7606,253204.3858,235699.4009,91129.95102,157329.5631,174920.5854,119573.8023,14284.61126,146846.0541,31975.0458,77368.10362,236186.1789,67593.2354,157360.8154,47411.44317,294943.9422,294943.9422,147082.7541,537527.4994,118033.8188,56632.68293,498037.8528,330500.5595,14451.88403,139639.1227,139639.1227,171541.474,166112.7582,239407.83,32389.87659,58143.90479,172823.4503,14284.98851,48523.4189,14451.88403,14451.88403,222101.752,90473.1323,66156.18737,53982.31257,116370.0047,236545.9664,132112.582,244099.3393,236265.4837,140303.9142,878865.9825,24933.79012,93158.91335,19766.35534,63390.44373,63390.44373
O53780,700416.7565,653138.3,388274.5603,949252.5508,422603.6471,442505.164,4671926.468,111426.9925,146803.1285,2623037.854,1802482.221,2546948.35,4672298.616,303940.7285,566951.8318,131258.8522,131258.8522,149373.2595,3467096.143,2726991.754,122216.271,715810.1095,988884.2718,148226.6807,184505.496,184505.496,113669.0329,380698.1725,357333.3915,164653.3661,361824.0215,4780721.449,234057.4865,641115.9504,148226.6807,148226.6807,702932.4401,4765432.02,4736756.841,234593.3655,2064683.635,689163.6321,339266.542,1760200.661,661874.424,405039.558,3362379.087,638846.199,255996.5603,557541.583,215461.6197,215461.6197
O53838,1044054.639,452197.0585,626198.9235,203707.3397,798012.8286,688571.9089,342936.1262,105952.4258,754245.7407,874936.2563,715101.5107,765005.8642,253520.3761,501154.8073,912841.085,923769.2718,923769.2718,755059.0235,1112305.856,1234243.337,835088.2738,813851.3906,1158914.819,119552.4446,777436.3445,777436.3445,870652.5603,559934.6198,573096.8943,95566.93158,883892.6473,354969.9963,103996.2701,83937.68777,119552.4446,119552.4446,359058.1615,363658.9193,197989.3397,51157.02558,716709.9232,699671.5362,624458.1011,1125895.238,360535.4814,539636.5645,2097760.99,160938.4613,590733.219,34229.65481,402238.109,402238.109
O69721,713983.3288,308071.2607,408275.8941,81101.82799,661758.4116,253539.9108,896930.1458,55070.99553,338912.0133,54900.39763,115052.3373,653310.2581,182425.5756,302275.4892,53722.05047,1334707.087,1334707.087,336727.0133,1679057.487,164430.3737,429840.489,960969.9707,1011615.607,44066.66983,700325.6194,700325.6194,394578.6826,356561.9592,448601.4753,55823.41487,920658.3603,624997.3271,59221.74745,81563.22651,44066.66983,44066.66983,508275.2269,205640.0684,212423.9327,34582.61435,367674.3504,776298.6618,307362.911,851296.4476,440313.8146,298102.2321,2902825.055,51662.84187,759801.0142,72300.86016,66685.30324,66685.30324
O69730,1320041.421,858596.7473,1267387.974,139237.805,1247996.295,1292078.835,659496.9909,19527.77901,1372712.379,56763.46958,172409.0706,1068864.773,583316.5569,1175204.448,97757.33778,1244289.211,1244289.211,1372635.379,1230783.354,168133.6678,1263022.173,1134423.773,1406749.821,25140.36908,958101.7882,958101.7882,1376007.757,1177375.698,1230960.749,19646.68151,1130396.653,620613.3221,18853.60401,170729.9657,25140.36908,25140.36908,368590.332,664362.0403,442070.327,75639.50673,1177382.419,1332287.207,1413464.841,1383390.316,297789.8793,1169416.808,1259755.009,45948.56472,922880.7897,59004.75967,179775.5743,179775.5743
O86312,486502.5359,443082.8517,674299.2376,165841.5383,1044043.409,676524.7047,1289434.984,129862.4086,553147.4728,921068.76,738591.4395,489739.9052,227462.7414,602580.721,921719.525,554843.5743,554843.5743,542647.0243,963163.6267,1310798.658,353942.4747,788597.0605,764880.3693,150585.0663,610158.1116,610158.1116,214895.6638,625592.634,549258.1297,131695.0801,387247.6892,1307851.851,129697.9751,102624.6151,150585.0663,150585.0663,1230506.319,317168.6444,165594.3508,50539.95095,525660.0893,1285617.514,503367.0458,580335.648,1186879.339,624881.434,1143105.13,171397.99,963122.6577,20120.59948,396109.7003,396109.7003
O86331,1740335.088,607914.6912,1766405.857,189242.4977,1753005.124,1212722.181,617263.1424,32392.69559,2026701.244,71772.9296,161658.02,810301.2092,189689.8725,1585192.727,70623.78246,1173971.335,1173971.335,2026701.244,1281474.37,103110.7822,1960870.386,1003579.02,1920551.857,47729.70478,1202730.372,1202730.372,1613748.157,1592254.995,2259723.601,57840.37226,1969270.15,679862.068,34058.61982,132764.2627,47729.70478,47729.70478,623975.6997,155849.598,135982.5964,67469.933,1726187.67,1806664.607,1786406.529,2017964.06,555414.6499,1582469.358,1751373.313,48808.05048,1365806.006,123292.3796,178922.0429,178922.0429
O86372,3825431.709,2482752.324,3293488.246,199105.5285,4024416.948,3095635.137,2628454.506,41339.09434,3461977.582,125866.6234,178769.7146,3487473.763,192423.927,3165129.048,124590.1844,3040232.424,3040232.424,3461974.882,3777348.021,218882.631,3451577.221,3065438.849,4012493.505,57011.79463,2743098.153,2743098.153,3409680.03,3436286.464,3369265.629,40284.45253,3584489.585,2135551.744,40523.15564,179722.0264,57011.79463,57011.79463,1128492.038,166282.5543,146431.8932,54457.88939,3264325.558,3782218.622,3586836.517,3447465.08,1080775.598,3320903.664,4658747.347,92784.99546,3339828.944,133193.1656,173698.4251,173698.4251
P0CH91,167792.736,340199.9394,172867.1534,31447.3787,219491.0162,266120.3919,251547.5492,29343.81583,297651.9056,16450.46484,83131.37653,463271.1489,370536.3782,297821.3761,29394.39337,570536.5934,570536.5934,274390.6176,1336708.813,112939.912,167999.4141,947370.5875,235187.3639,46768.5512,226715.8812,226715.8812,351038.8409,314710.2584,231429.3105,29467.51272,167993.0075,359154.6708,29570.78391,69928.61778,46768.5512,46768.5512,480418.5223,419116.3463,225023.7657,33548.6752,184333.6655,214582.1985,218686.9349,441057.0817,521108.5505,264592.3711,2308606.087,31200.36783,284872.919,39164.19749,64880.84127,64880.84127
P71592,1708812.721,618960.0567,1669586.341,237822.0525,1621334.813,1347086.387,590610.9495,152513.2417,1909042.13,709037.8354,691637.4311,988457.0659,374507.2332,1497699.908,261849.7625,808615.5505,808615.5505,1900044.94,1880874.668,614825.5956,1654447.212,922329.6239,1819977.582,194980.8558,1184729.116,1184729.116,1429427.402,1489802.4,1924489.593,153126.06,1715216.474,831213.4489,142087.2076,254818.0558,194980.8558,194980.8558,497057.5328,494956.2807,357767.2294,82703.51113,1651288.604,1680256.171,1860525.939,1894155.231,426758.9714,1477877.29,2337263.376,164488.6471,1152414.873,258110.6098,356954.3967,356954.3967
P71650,232947.662,1594085.846,949446.4869,1143137.045,743782.2323,599240.3193,1572630.431,823934.9061,1018146.071,723686.052,1731683.547,1316223.905,1226155.212,1139670.177,965299.0733,1608662.443,1608662.443,1016216.215,1366743.15,1095757.96,724740.8133,1169756.934,269058.9867,1473457.543,1060614.021,1060614.021,989375.4,1096582.413,311961.2797,1394943.789,1824855.415,1425388.885,965333.2465,712193.6653,1473457.543,1473457.543,1582394.971,1325726.971,777366.7179,1704573.782,1085032.32,1152173.557,876413.7493,1745591.288,1277609.332,969331.9793,1166020.859,834174.5067,569380.7767,744474.2653,1976738.787,1976738.787
P71658,1974773.22,1961392.671,1819029.814,148089.6274,1761504.653,1769735.896,1313930.576,136316.4877,2156293.764,183199.3277,211856.4515,2392250.236,748850.4998,1884763.555,420021.0076,1794098.181,1794098.181,2139130.11,1963750.854,529162.1101,1846297.607,2860456.359,1981673.152,199189.8996,1776603.122,1776603.122,1931592.408,1879002.864,1846002.422,178569.8109,2012700.826,1680522.025,125247.9827,144017.6171,199189.8996,199189.8996,3348852.311,781039.9063,541003.4715,183507.9343,1777861.481,2099736.106,2177518.973,1761159.852,3793901.134,1867130.639,2358624.299,198986.7086,1704034.389,122057.1341,176123.8456,176123.8456
P71668,1952688.985,760225.0828,1519132.432,81910.69467,1933745.672,1407639.861,1018450.165,43017.02186,1452915.613,164866.3556,131067.3109,1000840.645,418671.941,1224435.214,47117.1139,1538670.929,1538670.929,1446816.103,1238999.524,153326.6889,1424186.415,1192680.669,1971158.598,46274.89155,1657754.359,1657754.359,1339218.045,1140871.192,1790471.672,32911.49416,1844513.801,826473.997,42976.93802,131512.6015,46274.89155,46274.89155,435178.1819,465668.3164,261759.1979,42580.54225,1448881.721,1800728.117,1396069.264,2126262.704,385695.232,1214987.372,2299541.962,67336.88462,1691266.878,65885.83511,60376.31812,60376.31812
P71741,363778.9982,289711.1004,158150.7498,29343.88748,393313.9813,260442.387,359974.2435,34945.41209,166513.3246,62226.51106,150307.8632,627495.4236,570500.0152,201656.5188,89911.33508,649721.5087,649721.5087,167287.5056,1675629.733,147124.1325,262622.3644,551258.3067,378685.0622,21517.69164,424034.321,424034.321,383426.6759,261568.1997,378938.4947,17199.71436,360663.2297,399642.6239,23544.16151,31351.77538,21517.69164,21517.69164,231047.1073,658361.9258,493793.6867,27818.36725,221562.4776,224763.0106,125869.6578,584288.6354,82858.4921,208730.9232,2556899.802,29895.79333,291558.0587,32856.67086,51748.18203,51748.18203
P71814,822444.2277,643319.295,918874.2608,102564.8318,1275354.464,1055260.269,389234.0059,101149.5185,860033.3558,94658.80185,210763.4531,793023.8938,646398.9334,980619.84,185979.0414,951657.9981,951657.9981,859689.3558,912440.66,146055.0342,604881.8467,846481.4207,929393.8027,88942.91135,808546.7677,808546.7677,721377.7221,989061.478,755356.6049,82361.03125,681561.9069,405341.2045,103631.3242,171726.1234,88942.91135,88942.91135,591048.1056,703765.8143,507526.8577,152741.2023,907695.9785,1711341.969,942554.4905,996341.5393,415401.114,988671.278,942796.1026,172331.5779,1122361.442,77196.33848,109198.5259,109198.5259
P71864,326836.2479,226998.4329,211675.9832,90168.80562,391444.3055,238233.3717,330444.4403,65902.5368,209561.303,37503.85513,201898.3517,357802.5594,38666.79883,251673.6262,59753.85567,444776.1671,444776.1671,209903.694,452121.4031,176865.3405,213494.8071,335342.7017,323169.9042,88863.941,462137.7573,462137.7573,360988.4692,272708.8397,184661.3036,56116.55275,275171.8823,352929.0145,62690.3968,114442.1834,88863.941,88863.941,118026.6436,36269.0855,113627.8397,115335.2533,248582.0572,154920.1234,220869.6695,423341.3223,144966.5883,271162.7532,780238.8788,61245.7354,311472.7322,86815.53823,125732.2315,125732.2315
P71888,952720.877,1995648.875,531417.2523,158108.1423,736419.5923,566517.4098,917199.2113,114087.1437,611968.828,949159.5677,731795.4582,2371295.637,307423.4203,569386.2851,940144.2216,1560714.925,1560714.925,600976.9419,1283301.13,1446863.542,582970.3918,2105623.283,898837.826,132075.9269,839154.2724,839154.2724,782595.7658,565555.321,681714.5299,114135.859,971774.5566,1230825.33,113191.3837,49295.4589,132075.9269,132075.9269,3262572.747,446232.933,247424.2023,15572.43758,755140.959,842497.8579,601824.6057,946637.4106,4007773.597,566845.036,2321147.09,164060.5063,641662.5313,14648.70923,458985.1849,458985.1849
P95004,637070.8512,750429.7708,548176.4456,241670.8657,658501.4632,643049.7522,796015.6691,192501.9369,491102.6932,322749.1965,418833.5445,1175153.726,801114.7563,520321.2118,272108.5079,759702.9341,759702.9341,492064.7064,1977023.81,299463.8695,406018.3877,1167586.785,631712.4212,217357.4922,507574.7347,507574.7347,707261.4587,569185.0516,359351.384,189528.2708,399935.1461,1033722.724,189612.8799,321314.3469,217357.4922,217357.4922,604665.0704,849501.9753,734703.4492,235135.5202,460140.115,609354.2412,644447.7107,821867.1037,655282.7307,532326.8343,3008347.968,252081.5015,638532.3839,242476.8603,264524.5687,264524.5687
P95189,871782.6922,897367.799,1012148.266,104791.4318,1492856.314,1243397.333,639960.3738,45444.88929,846674.5897,69181.99013,192824.3349,1045969.323,665887.3211,1109933.343,153913.9757,1073260.127,1073260.127,846679.6467,1191107.034,185350.4543,486901.4,1402920.646,872633.7906,57392.22148,882251.2972,882251.2972,482562.7752,1012314.716,861496.0845,86271.09953,605980.834,945721.0715,57119.78996,89812.05443,57392.22148,57392.22148,1162071.25,715505.138,462289.1857,121067.9881,794486.1879,1825502.262,1024386.359,978212.0674,1126804.304,1105556.067,2014937.645,142347.6967,1438054.15,68446.8394,107587.0579,107587.0579
P95251,1763513.67,451558.4153,1757645.215,109832.5784,1579924.095,1295211.879,446932.71,95761.73762,2102599.198,113836.157,178771.0235,775322.9728,449487.6573,1565237.71,101163.5503,685484.3129,685484.3129,2103299.198,615825.4227,203788.1215,1930501.49,592924.2803,1840407.58,108158.8478,1183792.261,1183792.261,1553954.69,1632985.785,2261229.824,79311.06362,1941077.522,458468.9958,87573.02045,157323.3371,108158.8478,108158.8478,322742.7983,486937.7211,334024.0484,89551.28282,1803802.138,1795218.62,1911374.007,1721715.447,254754.8862,1617716.18,754216.4235,78886.59956,1219938.061,164509.1565,135653.1173,135653.1173
P96218,87265.83035,119648.4421,109661.5956,13835.31846,165724.2613,63273.18675,326150.0833,7360.780056,139030.9604,14549.22098,63446.59444,151362.6484,24663.4047,70698.8368,72232.25503,283000.1708,283000.1708,141209.3919,180929.4179,94128.59171,77278.28158,298359.5841,165161.7274,12009.76771,89474.46055,89474.46055,80944.55299,141228.0162,116182.6786,5606.219031,88024.60042,322649.8418,7173.998286,71909.60029,12009.76771,12009.76771,95328.31105,56385.25223,32107.14064,13424.26629,133318.0628,97898.77566,94330.82507,208495.231,52689.46055,96696.69487,442883.8962,27499.97617,69572.04752,7161.360162,30860.13987,30860.13987
P96277,732075.8127,414512.5577,333959.7756,829261.6663,439768.9623,289294.3877,4635866.333,138964.2505,67524.43092,2319207.994,1579898.544,2401862.021,4726562.317,234148.938,402426.9323,94652.85005,94652.85005,95261.97192,2803374.118,2384497.243,133092.1818,234858.559,993818.9937,71763.98958,98508.92429,98508.92429,32001.47367,362800.8273,400492.7163,87425.19229,439082.2451,4737345.171,254867.126,490575.3623,71763.98958,71763.98958,648046.2631,4755867.156,4721916.798,171624.4868,2142905.751,664200.9353,172712.6291,1762304.631,504088.9337,387676.4557,2849963.955,556164.8467,333843.3975,552793.1318,155796.2557,155796.2557
P96285,441953.6903,180778.2261,335106.8965,139071.7129,529801.279,169431.0794,660444.3256,50156.09511,349764.7867,31881.64279,70319.61604,461090.1341,170005.5988,237062.3018,57697.49168,982072.3699,982072.3699,349414.7867,855533.4207,149108.6096,329166.3238,572291.5261,733401.403,61107.55513,635699.8637,635699.8637,339953.5103,274783.4911,374931.0788,46530.45693,729673.2436,460164.0984,61125.46268,120026.6403,61107.55513,61107.55513,310526.0364,191850.2642,158023.9008,56193.40834,266100.7032,604905.1648,283396.7201,680994.703,156259.9479,233486.9164,1828607.507,64703.98669,652080.6275,85528.44995,142193.329,142193.329
P96402,698305.4469,771539.9762,426156.5944,192824.701,733681.7289,540245.5898,758621.576,58966.34429,398244.693,111119.5958,223655.2723,1095885.149,649817.17,421433.6432,119474.5786,1473230.871,1473230.871,390472.374,1681740.977,202067.0899,386749.507,1201353.952,994986.6586,87496.88489,727519.5465,727519.5465,791585.1025,456356.2015,441504.7383,93119.42698,563222.4752,675945.0135,48939.68593,133861.8955,87496.88489,87496.88489,406235.7182,737173.0463,609196.8122,100689.6546,391525.2739,703073.8791,398200.5247,1203404.677,601810.867,421517.742,1851312.385,61277.39153,591098.8653,71286.17635,188284.9649,188284.9649
P96809,724028.4157,481789.9582,350824.8957,147031.255,741149.9918,336481.9317,763397.873,43092.30733,364761.6675,28432.95263,89088.75794,698677.0196,117052.4983,330246.6103,37338.10182,1057534.649,1057534.649,365294.3485,833059.4297,101729.5777,472005.8467,667282.9153,743356.2174,112340.6691,873500.0502,873500.0502,551976.1503,364355.2023,349585.2717,72871.52183,892008.1498,524931.8776,46340.74896,147041.0301,112340.6691,112340.6691,172170.7858,138847.8531,117643.3498,81479.80669,375189.5091,776723.1956,350878.2168,884966.089,228898.0653,330556.3242,1599185.337,79297.39702,778275.636,99561.89594,134498.4568,134498.4568
P96855,519570.8841,417305.3476,425112.6555,108163.5361,655723.743,546295.0029,473506.1514,96035.64638,365735.5426,53778.0437,92778.08977,630716.3355,164988.7161,478502.7107,89228.32305,447985.033,447985.033,365740.7236,633217.4149,111752.9702,297466.7887,817596.905,606918.0677,83712.80491,626077.3243,626077.3243,575060.4232,502815.6223,618486.501,91692.355,299201.4073,591716.8794,107929.8464,149808.5897,83712.80491,83712.80491,324993.6578,200530.9709,161287.8635,86025.61935,431144.9433,525111.7044,325020.8369,522287.339,191945.9494,479661.5355,960176.4472,92744.08649,378123.8822,102867.089,76247.18904,76247.18904
P96917,3013442.81,2269651.035,2673367.954,213006.7098,2797218.25,2146497.961,1496019.542,158287.5636,2904173.78,247069.096,296064.9127,2600415.724,331493.606,2467308.158,232673.1409,2099413.021,2099413.021,2897921.368,2026929.482,422511.9714,2503820.466,2862420.025,3293423.4,176348.8797,2371506.34,2371506.34,2373638.875,2475756.568,3077106.956,179971.1959,3054728.113,1891092.479,140311.7794,242552.9353,176348.8797,176348.8797,3258237.502,334857.5523,303749.7373,197306.8187,2580963.523,2876590.505,2670195.495,2869730.926,3969065.791,2450258.634,2663339.902,206942.8279,2595571.377,235670.8734,177839.7012,177839.7012
P9WF11,428654.1923,342596.4544,456599.4236,150593.7298,431844.0873,315095.0514,870960.6187,100183.1983,414649.4528,62810.28089,96471.28747,852402.9877,189813.0223,367068.9569,52969.08864,1900891.805,1900891.805,421665.1128,2191414.023,142896.1803,359741.493,1062025.896,650964.3154,93199.89534,593932.5155,593932.5155,438233.8708,461394.2355,427829.6323,110421.1357,529446.8376,502287.8824,110229.5776,183482.7532,93199.89534,93199.89534,624747.3093,228234.6208,210995.2631,118992.1221,294932.6097,570689.0186,371953.9076,534156.7761,954628.1303,359366.0738,2488618.388,140463.2405,474599.5079,143517.4636,110727.8681,110727.8681
P9WF21,1975312.84,1887845.045,1908448.407,657702.2437,1774979.097,1612188.892,1064118.507,395997.6452,2323458.485,692379.3813,628604.8995,2435356.464,1110578.833,1707495.972,906574.6752,1322210.606,1322210.606,2305710.158,1475614.748,673451.1374,1954899.894,2593835.572,2032832.723,610816.7969,1553333.335,1553333.335,2214417.052,1696424.584,2050706.992,527573.7559,2012616.086,1259347.637,432955.3476,811018.4189,610816.7969,610816.7969,3218751.315,1094508.408,673453.4716,420802.031,1994781.042,1901812.858,2161078.476,1881967.994,3780973.709,1693551.279,1793112.217,580681.89,1448617.468,833823.3247,1090834.331,1090834.331
P9WF25,1077029.127,902848.5361,730930.686,234108.0207,902857.4908,898832.4508,1310418.634,102738.4287,872838.9978,494543.1908,568580.8385,1150699.696,166471.9045,778995.9,203129.4997,1291377.873,1291377.873,860017.8733,1486232.421,723608.1485,997969.9713,1944004.96,1195770.299,127258.6906,1081925.356,1081925.356,1288638.074,824598.5871,815330.5202,91177.03573,1105532.704,1342655.476,87748.5674,250195.62,127258.6906,127258.6906,1085626.719,230295.2941,204633.6336,177922.2368,832333.1029,922547.2955,785910.4755,1662147.35,1008729.285,824446.0871,1524498.441,138074.9667,942348.4963,130231.0329,422584.0967,422584.0967
P9WF37,3088026.088,2546712.849,2263208.679,144376.7549,3617510.311,2392942.855,2625381.636,91870.28092,2235440.331,256133.0946,314128.7129,3378920.761,420071.3637,2564244.26,240536.3094,3435850.752,3435850.752,2236248.512,3177564.395,374803.1839,2505279.611,3120312.991,3138088.514,115541.9538,2549615.689,2549615.689,2923392.297,2566855.09,2295675.723,154049.1657,2986425.087,2089303.8,123863.9919,148102.146,115541.9538,115541.9538,1152731.226,455371.1044,327953.2344,102227.5972,2241260.187,3181533.089,2563602.326,3074470.972,1112336.583,2566854.414,3860620.122,132789.3958,2956457.112,88794.56788,188732.2965,188732.2965
P9WFB9,797484.6449,1432327.936,562119.5635,29739.06648,695272.1019,586650.1801,821320.3567,95674.07744,536593.4673,166092.8414,267762.9585,1954331.06,781961.4287,528301.4381,227300.597,1396420.556,1396420.556,522970.6101,1338695.939,229407.2569,374424.9995,2364521.529,1075949.318,134821.3092,726650.6431,726650.6431,782829.7978,530189.1659,714625.6772,178189.4646,696707.7851,1206842.104,130787.5744,242036.1801,134821.3092,134821.3092,2994734.549,824879.4151,669833.2673,146171.4868,630746.3436,810070.1828,635912.8862,623934.0892,3592390.023,528544.1319,2076520.159,79368.70633,604938.1416,127088.1063,104329.4452,104329.4452
P9WFC7,341575.5139,327703.1572,170265.6411,83237.55633,272206.0845,256004.4479,98195.16963,50688.66124,169520.4733,131149.0451,203306.8083,552460.8538,86651.7037,270465.9212,134850.9635,499456.4908,499456.4908,155253.5711,782220.2047,211306.74,253325.2716,663125.3333,392921.7375,47391.86547,304850.9223,304850.9223,431568.845,336344.7218,300703.3024,38664.54135,322681.7836,189046.0081,34048.05725,93672.05666,47391.86547,47391.86547,367469.8857,128021.3554,128823.6278,37656.77631,230139.4976,284338.0636,238883.9989,354306.7167,323220.29,295976.7268,1078764.984,66547.087,169572.1731,42209.98754,129138.5091,129138.5091
P9WFS9,192512.8622,538054.141,323412.3367,50388.91603,212808.8736,350552.4907,284339.2157,18558.50027,204967.4358,9345.068847,128320.1794,536010.5654,369293.636,268498.3339,27170.99995,635000.1645,635000.1645,187906.2206,1063725.535,116009.4585,152065.6,1029590.047,433844.6501,21315.51363,234054.6769,234054.6769,189169.4002,312785.0698,299207.6468,17890.56388,154084.8791,291473.7258,8354.178347,60468.49171,21315.51363,21315.51363,380422.5024,421385.5253,319842.026,26416.27021,184528.9704,395623.3595,261323.4544,463345.5638,223736.38,264716.7537,1354094.227,20534.21333,293130.6107,33773.82778,89640.15242,89640.15242
P9WFU5,110240.1356,203150.344,118469.0607,68540.14977,133517.1986,178672.2984,99276.60844,41583.37387,105986.2605,22093.63076,74294.99874,355166.3565,408992.3929,133710.8207,54057.62732,428218.6588,428218.6588,91734.58438,410591.5648,101541.9404,104011.3921,231476.1539,218269.2154,41548.7762,197408.1757,197408.1757,136335.0319,171683.2975,175121.4843,37252.48854,92637.14877,220368.356,41084.09061,141503.5152,41548.7762,41548.7762,102222.4215,461595.3304,364973.539,63270.72613,221104.2313,104451.3446,108548.1562,379158.3319,119961.9133,133926.0152,691769.7631,44082.00629,118224.0442,60490.94142,96369.57843,96369.57843
